epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.37562668323516846,0.5470046401023865,0.2943495213985443,1e-04,0.3076923191547394,0.0007713073864579201,0.6372881531715393,0.7654980421066284,0.22741062939167023,0.0,0.0
1,0.46529117226600647,0.6549069285392761,0.19167186319828033,1e-04,0.7714285850524902,0.010412649251520634,0.5898305177688599,0.7809738516807556,0.15526539087295532,0.9692307710647583,0.07118643820285797
2,0.5553413033485413,0.7432171106338501,0.1419152021408081,1e-04,0.8195266127586365,0.0534130334854126,0.6124293804168701,0.8291333317756653,0.1194588765501976,0.9521530866622925,0.22485876083374023
3,0.5915927290916443,0.7773562669754028,0.11705601215362549,1e-04,0.8220640420913696,0.08908600360155106,0.6406779885292053,0.8495592474937439,0.1015588641166687,0.949999988079071,0.23615819215774536
4,0.6311222314834595,0.803639829158783,0.10162985324859619,1e-04,0.841292142868042,0.11550328135490417,0.6531073451042175,0.8720725178718567,0.08865870535373688,0.9599999785423279,0.29830509424209595
5,0.648283839225769,0.820492148399353,0.09144829213619232,1e-04,0.8388952612876892,0.1405707746744156,0.6926553845405579,0.8918765783309937,0.07954388111829758,0.9641693830490112,0.3344632685184479
6,0.6419205665588379,0.8188416361808777,0.08513280004262924,1e-04,0.8368200659751892,0.15426146984100342,0.6802259683609009,0.8822413682937622,0.07470756769180298,0.9614148139953613,0.3378531038761139
7,0.6654454469680786,0.8310526013374329,0.07929758727550507,1e-04,0.8525214195251465,0.1727728545665741,0.6768361330032349,0.8728561401367188,0.07175923883914948,0.9633333086967468,0.32655367255210876
8,0.6669880151748657,0.8342753648757935,0.0757162868976593,1e-04,0.8526616096496582,0.17296567559242249,0.7175140976905823,0.9075151085853577,0.06391721963882446,0.9331682920455933,0.42598870396614075
9,0.6637099981307983,0.8344438672065735,0.07286839932203293,1e-04,0.862162172794342,0.18453527987003326,0.6779661178588867,0.8738746643066406,0.06585115939378738,0.9484848380088806,0.3536723256111145
10,0.6889703273773193,0.8487467169761658,0.06936042010784149,1e-04,0.8555729985237122,0.21018125116825104,0.6598870158195496,0.8467493653297424,0.06713637709617615,0.9603174328804016,0.27344632148742676
11,0.6845352649688721,0.8498616814613342,0.06713177263736725,1e-04,0.8635014891624451,0.22445043921470642,0.6870056390762329,0.8609521389007568,0.06386170536279678,0.9435216188430786,0.3209039568901062
12,0.6837639808654785,0.8505606651306152,0.06557206809520721,1e-04,0.871612012386322,0.23563440144062042,0.6960452198982239,0.8870691657066345,0.0593809150159359,0.9387186765670776,0.38079094886779785
13,0.6989973187446594,0.8575183749198914,0.06371772289276123,1e-04,0.8596610426902771,0.2445044368505478,0.7152542471885681,0.9008228778839111,0.05648096650838852,0.9328165650367737,0.4079096019268036
14,0.7005398869514465,0.8604288101196289,0.06236739084124565,1e-04,0.8602794408798218,0.24932511150836945,0.697175145149231,0.8726814985275269,0.059408772736787796,0.9433962106704712,0.33898305892944336
15,0.6899344325065613,0.8505623936653137,0.06271436810493469,1e-04,0.8696296215057373,0.22637870907783508,0.7299435138702393,0.8986810445785522,0.05490971729159355,0.9236453175544739,0.4237288236618042
16,0.7036251425743103,0.8617303371429443,0.06055524945259094,1e-04,0.8663738965988159,0.26629385352134705,0.7118644118309021,0.8920473456382751,0.05523586645722389,0.9300518035888672,0.40564972162246704
17,0.7069032192230225,0.868111252784729,0.05916828289628029,1e-04,0.8688915371894836,0.2811415493488312,0.7186440825462341,0.8957780003547668,0.053752414882183075,0.9292452931404114,0.445197731256485
18,0.7117238640785217,0.8711371421813965,0.05808825045824051,1e-04,0.8770314455032349,0.31218665838241577,0.7186440825462341,0.8974391222000122,0.05323879420757294,0.9248826503753662,0.445197731256485
19,0.7042036056518555,0.8692122101783752,0.057955142110586166,1e-04,0.8747072815895081,0.2880833148956299,0.7536723017692566,0.9182166457176208,0.04984823614358902,0.9308943152427673,0.5175141096115112
20,0.7121095061302185,0.8679012060165405,0.05788913369178772,1e-04,0.8683887124061584,0.2722715139389038,0.7152542471885681,0.8875550627708435,0.05417190119624138,0.912466824054718,0.38870057463645935
21,0.7117238640785217,0.8700128793716431,0.05705137550830841,1e-04,0.872305154800415,0.30428075790405273,0.7276836037635803,0.8992220759391785,0.05195261910557747,0.9065817594528198,0.48248589038848877
22,0.7188584804534912,0.8754758834838867,0.05620628967881203,1e-04,0.8752735257148743,0.30852293968200684,0.7209039330482483,0.8908078670501709,0.05272426828742027,0.8965517282485962,0.4406779706478119
23,0.7236791253089905,0.8775022029876709,0.05539841949939728,1e-04,0.8746694922447205,0.3189356029033661,0.694915235042572,0.8753924369812012,0.054776180535554886,0.8923512697219849,0.35593220591545105
24,0.7261858582496643,0.8793703317642212,0.05506419017910957,1e-04,0.8783209323883057,0.3187427818775177,0.6768361330032349,0.8547218441963196,0.05668014660477638,0.8676844835281372,0.38531073927879333
25,0.7392981052398682,0.8849778175354004,0.05416370555758476,5e-05,0.8839519023895264,0.3260701894760132,0.7028248310089111,0.8871563076972961,0.052904680371284485,0.8928571343421936,0.4237288236618042
26,0.7398765683174133,0.8901468515396118,0.05314590781927109,5e-05,0.8869358897209167,0.36000770330429077,0.7152542471885681,0.8974866271018982,0.051174405962228775,0.8958333134651184,0.4858756959438324
27,0.7389124631881714,0.8875871300697327,0.053455546498298645,5e-05,0.8845781087875366,0.35171616077423096,0.7152542471885681,0.88644939661026,0.05266279727220535,0.8778801560401917,0.43050846457481384
28,0.7383340001106262,0.8890630602836609,0.05316581204533577,5e-05,0.8911088705062866,0.3440030813217163,0.7242937684059143,0.8896884918212891,0.052067771553993225,0.8886311054229736,0.4327683746814728
29,0.7392981052398682,0.8868231177330017,0.05349043011665344,5e-05,0.885286808013916,0.34226763248443604,0.7163841724395752,0.8818057775497437,0.05305827781558037,0.8843373656272888,0.4146892726421356
30,0.7491322755813599,0.8958238363265991,0.05212466046214104,2.5e-05,0.9028846025466919,0.3621287941932678,0.7028248310089111,0.8719078302383423,0.05437902361154556,0.8599033951759338,0.402259886264801
31,0.744504451751709,0.8956977128982544,0.05207796022295952,2.5e-05,0.8955365419387817,0.3636714220046997,0.7050847411155701,0.8777726888656616,0.053585801273584366,0.8597285151481628,0.42937853932380676
32,0.7452757358551025,0.8951646089553833,0.05202099680900574,2.5e-05,0.8837420344352722,0.3752410411834717,0.7062146663665771,0.8804590106010437,0.05331525579094887,0.8568282127380371,0.4395480155944824
33,0.752410352230072,0.8987924456596375,0.051387347280979156,2.5e-05,0.8904531598091125,0.3902815282344818,0.697175145149231,0.8646659851074219,0.05521049723029137,0.8341013789176941,0.40903955698013306
34,0.7454685568809509,0.8948372006416321,0.0519348569214344,2.5e-05,0.8852763772010803,0.36752796173095703,0.710734486579895,0.8770161271095276,0.05347258225083351,0.8636363744735718,0.42937853932380676
