epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.839425802230835,0.9592989087104797,0.5323861241340637,1.5625e-06,0.8468866944313049,0.8309130072593689,0.851802408695221,0.9620926976203918,0.5212070941925049,0.8658453226089478,0.8444592952728271
1,0.8359205722808838,0.9596193432807922,0.5296425819396973,1.5625e-06,0.8446834087371826,0.8260724544525146,0.8504672646522522,0.9623073935508728,0.5208598375320435,0.8639781475067139,0.8437917232513428
2,0.8474377989768982,0.9609533548355103,0.5237321853637695,1.5625e-06,0.8547781705856323,0.8360874652862549,0.851802408695221,0.9626604318618774,0.5201525688171387,0.8659370541572571,0.8451268076896667
3,0.848773181438446,0.9612616896629333,0.5248549580574036,1.5625e-06,0.857654869556427,0.838758111000061,0.851802408695221,0.9629983305931091,0.5195940136909485,0.8671233057975769,0.8451268076896667
4,0.8420965075492859,0.9609094858169556,0.5233068466186523,1.5625e-06,0.850494384765625,0.8327491283416748,0.8491321802139282,0.9632453322410583,0.5189154148101807,0.8643835783004761,0.842456579208374
5,0.8435987234115601,0.9617262482643127,0.5237511396408081,1.5625e-06,0.8539345264434814,0.8314138054847717,0.8504672646522522,0.9632763862609863,0.519106388092041,0.863107442855835,0.8417890667915344
6,0.8506092429161072,0.9622423648834229,0.5198107361793518,1.5625e-06,0.8604889512062073,0.8400934934616089,0.8538050651550293,0.9634145498275757,0.5189321041107178,0.8666210770606995,0.8457943797111511
7,0.8456017374992371,0.9638959169387817,0.5126294493675232,1.5625e-06,0.8552384376525879,0.8352528810501099,0.8538050651550293,0.9632086157798767,0.5196067690849304,0.8651608228683472,0.8437917232513428
8,0.8461024761199951,0.9634075164794922,0.5137549042701721,1.5625e-06,0.8568744659423828,0.837422788143158,0.8511348366737366,0.963661789894104,0.5182974338531494,0.8638851046562195,0.8431241512298584
9,0.8529461026191711,0.9646020531654358,0.5121051669120789,1.5625e-06,0.8620041012763977,0.841428816318512,0.8524699807167053,0.9635964035987854,0.518365204334259,0.863667368888855,0.8457943797111511
10,0.8497746586799622,0.963668167591095,0.5148096084594727,1.5625e-06,0.8576804399490356,0.8369220495223999,0.8524699807167053,0.9637271165847778,0.517855703830719,0.8641638159751892,0.8451268076896667
11,0.8506092429161072,0.9635810256004333,0.5142612457275391,1.5625e-06,0.8590753674507141,0.837422788143158,0.8538050651550293,0.9640398025512695,0.5165839791297913,0.8661202192306519,0.8464619517326355
12,0.8512769341468811,0.9636611342430115,0.5145335793495178,1.5625e-06,0.8586826324462891,0.8377566337585449,0.8538050651550293,0.9639391899108887,0.516926646232605,0.8654371500015259,0.8457943797111511
13,0.8491069674491882,0.964651882648468,0.5095893740653992,1.5625e-06,0.8589019775390625,0.838257372379303,0.8531374931335449,0.9639767408370972,0.516750156879425,0.8653451800346375,0.8451268076896667
14,0.8544483184814453,0.9653953313827515,0.5070037245750427,1.5625e-06,0.8644125461578369,0.8449340462684631,0.8538050651550293,0.9641789197921753,0.5157485604286194,0.8662115931510925,0.8471295237541199
15,0.8541145324707031,0.9650628566741943,0.5062305331230164,1.5625e-06,0.8625576496124268,0.8432648777961731,0.855140209197998,0.9639421105384827,0.5163161754608154,0.8662115931510925,0.8471295237541199
16,0.8539475798606873,0.9662045836448669,0.5035932064056396,1.5625e-06,0.8638921976089478,0.845434844493866,0.8558077216148376,0.9645239114761353,0.5145159959793091,0.8662115931510925,0.8471295237541199
17,0.8552829027175903,0.9667290449142456,0.5012961626052856,1.5625e-06,0.8653583526611328,0.8464363217353821,0.8558077216148376,0.964380145072937,0.5145881772041321,0.8676671385765076,0.8491321802139282
18,0.847104012966156,0.9644309878349304,0.510254979133606,1.5625e-06,0.8554401397705078,0.8385912179946899,0.8578104376792908,0.9646519422531128,0.5136294364929199,0.8690313696861267,0.8504672646522522
19,0.8494408130645752,0.9647922515869141,0.5083983540534973,1.5625e-06,0.8564862012863159,0.8397596478462219,0.8578104376792908,0.9648075699806213,0.5132781863212585,0.8689419627189636,0.8497997522354126
20,0.8551160097122192,0.9658516645431519,0.5044825673103333,1.5625e-06,0.8649386167526245,0.8466032147407532,0.8591455221176147,0.964750349521637,0.513194739818573,0.8691206574440002,0.8511348366737366
21,0.8531129956245422,0.9661955833435059,0.502727210521698,1.5625e-06,0.8620218634605408,0.842597246170044,0.855140209197998,0.9647321701049805,0.5129615664482117,0.8651226162910461,0.8477970361709595
22,0.8574528694152832,0.9669828414916992,0.49893903732299805,1.5625e-06,0.8659055829048157,0.8482723832130432,0.8538050651550293,0.9645180702209473,0.5135830044746399,0.8642565011978149,0.8457943797111511
23,0.8512769341468811,0.965766429901123,0.504189670085907,1.5625e-06,0.8590421080589294,0.8412618637084961,0.856475293636322,0.9644817113876343,0.5135489702224731,0.8668941855430603,0.8477970361709595
24,0.8529461026191711,0.9669919610023499,0.49886858463287354,1.5625e-06,0.8617691993713379,0.843932569026947,0.8558077216148376,0.9645790457725525,0.5129104256629944,0.8662115931510925,0.8471295237541199
25,0.8531129956245422,0.9665673971176147,0.5000990033149719,1.5625e-06,0.8605285882949829,0.8424302935600281,0.856475293636322,0.9644683599472046,0.5126202702522278,0.8679890632629395,0.8471295237541199
26,0.8546152710914612,0.966545820236206,0.5002424120903015,1.5625e-06,0.8641554713249207,0.846269428730011,0.8571428656578064,0.9649524688720703,0.5113078355789185,0.8683492541313171,0.8497997522354126
27,0.8592889308929443,0.9676081538200378,0.49567076563835144,1.5625e-06,0.8657786846160889,0.846269428730011,0.8591455221176147,0.9648474454879761,0.5111715793609619,0.8704839944839478,0.8524699807167053
28,0.8574528694152832,0.9669327735900879,0.49986210465431213,1.5625e-06,0.8668830990791321,0.846770167350769,0.8598130941390991,0.9651456475257874,0.5106812119483948,0.8696245551109314,0.8504672646522522
29,0.8529461026191711,0.9659328460693359,0.5019800662994385,1.5625e-06,0.8613002300262451,0.844767153263092,0.8598130941390991,0.965172290802002,0.5107558369636536,0.8689419627189636,0.8497997522354126
30,0.8617926836013794,0.9690660238265991,0.49020716547966003,1.5625e-06,0.8702029585838318,0.8516107201576233,0.8571428656578064,0.9650920033454895,0.510246753692627,0.8674863576889038,0.8477970361709595
31,0.8582874536514282,0.9670912027359009,0.4990067183971405,1.5625e-06,0.866769015789032,0.8481054902076721,0.8578104376792908,0.965019166469574,0.5104620456695557,0.8677573204040527,0.8497997522354126
32,0.8559505939483643,0.9677263498306274,0.49473416805267334,1.5625e-06,0.8651551604270935,0.847104012966156,0.8584779500961304,0.9653627276420593,0.5093793869018555,0.8684390187263489,0.8504672646522522
33,0.8566182851791382,0.9675518274307251,0.49515312910079956,1.5625e-06,0.8637607097625732,0.843431830406189,0.8584779500961304,0.965245246887207,0.5088955163955688,0.8696245551109314,0.8504672646522522
34,0.8574528694152832,0.9683695435523987,0.49127474427223206,1.5625e-06,0.8650170564651489,0.8461024761199951,0.8571428656578064,0.9653400778770447,0.5086908340454102,0.8676671385765076,0.8491321802139282
35,0.8601235151290894,0.9684312343597412,0.49320533871650696,1.5625e-06,0.866847813129425,0.8519445657730103,0.8571428656578064,0.9652639627456665,0.5087012052536011,0.8683492541313171,0.8497997522354126
36,0.8614588379859924,0.9679827690124512,0.4935908019542694,1.5625e-06,0.8690760135650635,0.8509430885314941,0.856475293636322,0.9653388261795044,0.5083493590354919,0.8676671385765076,0.8491321802139282
37,0.8616257905960083,0.9686142206192017,0.48978403210639954,1.5625e-06,0.8684884905815125,0.848773181438446,0.8571428656578064,0.965252697467804,0.508603572845459,0.8683492541313171,0.8497997522354126
38,0.8591220378875732,0.969580352306366,0.48629310727119446,1.5625e-06,0.8669279217720032,0.8492739200592041,0.856475293636322,0.9649612307548523,0.5093801617622375,0.8663028478622437,0.8477970361709595
39,0.8597896695137024,0.9676347374916077,0.4953128695487976,1.5625e-06,0.8680981397628784,0.8502753973007202,0.8591455221176147,0.9658061861991882,0.5062388777732849,0.8703956604003906,0.851802408695221
40,0.8639625906944275,0.9700127243995667,0.4847302734851837,1.5625e-06,0.8732274174690247,0.8531129956245422,0.8578104376792908,0.9657559394836426,0.5064167380332947,0.8682593703269958,0.8491321802139282
41,0.8602904081344604,0.9687895178794861,0.48942309617996216,1.5625e-06,0.8690008521080017,0.8492739200592041,0.8571428656578064,0.9658075571060181,0.5065006613731384,0.8669849634170532,0.8484646081924438
42,0.8632949590682983,0.9696788787841797,0.48571813106536865,1.5625e-06,0.8711875677108765,0.8534468412399292,0.8578104376792908,0.9654068350791931,0.5075770020484924,0.8683492541313171,0.8497997522354126
43,0.8587881922721863,0.9693756103515625,0.4872520864009857,1.5625e-06,0.8674042820930481,0.8506092429161072,0.855140209197998,0.9655452966690063,0.5068539977073669,0.8656207323074341,0.8471295237541199
44,0.8606242537498474,0.9699617624282837,0.48298269510269165,1.5625e-06,0.868654191493988,0.8511099815368652,0.8571428656578064,0.965742826461792,0.5058885216712952,0.8669849634170532,0.8484646081924438
45,0.8632949590682983,0.969368577003479,0.4882991909980774,1.5625e-06,0.8706822991371155,0.8541145324707031,0.8584779500961304,0.9657278656959534,0.5058503150939941,0.8683492541313171,0.8497997522354126
46,0.8601235151290894,0.9693485498428345,0.48671454191207886,1.5625e-06,0.8677573204040527,0.8499415516853333,0.8611481785774231,0.9655193090438843,0.5066936612129211,0.8730375170707703,0.8538050651550293
47,0.8544483184814453,0.9679409265518188,0.49272969365119934,1.5625e-06,0.8601493835449219,0.845935583114624,0.8618157505989075,0.965922474861145,0.5055258870124817,0.8710777759552002,0.8524699807167053
48,0.8607912063598633,0.9707754850387573,0.4806772768497467,1.5625e-06,0.8690030574798584,0.8526122570037842,0.8631508946418762,0.9658844470977783,0.5051409602165222,0.873210608959198,0.855140209197998
49,0.8661325573921204,0.9695675373077393,0.48556241393089294,1.5625e-06,0.8741688132286072,0.8557837009429932,0.8631508946418762,0.965855062007904,0.5052195191383362,0.873210608959198,0.855140209197998
50,0.8674678802490234,0.9699839949607849,0.48310160636901855,1.5625e-06,0.8734263181686401,0.8569520711898804,0.8598130941390991,0.9659770727157593,0.5043535828590393,0.8690313696861267,0.8504672646522522
51,0.8644633889198303,0.9703384041786194,0.48165783286094666,1.5625e-06,0.8732322454452515,0.8554498553276062,0.8578104376792908,0.9660341143608093,0.5038438439369202,0.8670756816864014,0.8491321802139282
52,0.8609580993652344,0.9702965021133423,0.48070526123046875,1.5625e-06,0.8689081072807312,0.8541145324707031,0.8558077216148376,0.9661545157432556,0.5034991502761841,0.8664849996566772,0.8491321802139282
53,0.8651310205459595,0.970176100730896,0.48307302594184875,1.5625e-06,0.8725724220275879,0.8549491167068481,0.8558077216148376,0.9658513069152832,0.5044544339179993,0.8644413948059082,0.8471295237541199
54,0.8641295433044434,0.9712107181549072,0.4763392508029938,1.5625e-06,0.8723440170288086,0.8566182851791382,0.8598130941390991,0.9659546613693237,0.5040593147277832,0.8679373860359192,0.8511348366737366
55,0.8581205010414124,0.9692065715789795,0.48733633756637573,1.5625e-06,0.8658163547515869,0.8497746586799622,0.8584779500961304,0.9659948348999023,0.5036824345588684,0.8686181306838989,0.851802408695221
56,0.8661325573921204,0.9714193940162659,0.47769615054130554,1.5625e-06,0.8748723268508911,0.8577866554260254,0.8571428656578064,0.9662935137748718,0.5026454329490662,0.8664849996566772,0.8491321802139282
57,0.8698046803474426,0.9721185564994812,0.4751459062099457,1.5625e-06,0.8762746453285217,0.8606242537498474,0.8624833226203918,0.9666687846183777,0.501189649105072,0.8731241226196289,0.8544726371765137
58,0.8679686188697815,0.9710063338279724,0.47890904545783997,1.5625e-06,0.8733446598052979,0.8586212396621704,0.8624833226203918,0.9663488864898682,0.5021871328353882,0.8720217943191528,0.855140209197998
59,0.8666332960128784,0.9714678525924683,0.475432425737381,1.5625e-06,0.8751705288887024,0.8566182851791382,0.8631508946418762,0.9664207696914673,0.5016657710075378,0.8719345927238464,0.8544726371765137
60,0.8679686188697815,0.9710419774055481,0.4779101312160492,1.5625e-06,0.8753401637077332,0.8591220378875732,0.8624833226203918,0.9662083387374878,0.502404510974884,0.8700680136680603,0.8538050651550293
61,0.8694708943367004,0.9717574119567871,0.47639787197113037,1.5625e-06,0.8797468543052673,0.8584543466567993,0.8618157505989075,0.9660733938217163,0.5030600428581238,0.8700680136680603,0.8538050651550293
62,0.8671340346336365,0.9702157378196716,0.4823157489299774,1.5625e-06,0.8755964636802673,0.8576197624206543,0.8618157505989075,0.9663840532302856,0.5018091797828674,0.8712534308433533,0.8538050651550293
63,0.8691370487213135,0.9716119170188904,0.474788099527359,1e-06,0.876469612121582,0.8586212396621704,0.8638184070587158,0.9663704633712769,0.5017051696777344,0.8738923072814941,0.8558077216148376
64,0.8656317591667175,0.9711598753929138,0.4774322509765625,1e-06,0.8720081448554993,0.8574528694152832,0.8631508946418762,0.9664884805679321,0.5012288093566895,0.8751705288887024,0.856475293636322
65,0.8602904081344604,0.9706040024757385,0.4803408682346344,1e-06,0.8661230206489563,0.8509430885314941,0.8624833226203918,0.9662707448005676,0.5020732879638672,0.8714285492897034,0.855140209197998
66,0.8657987117767334,0.9707673192024231,0.4800287187099457,1e-06,0.8749361634254456,0.8582874536514282,0.8631508946418762,0.9664514660835266,0.501261293888092,0.8720217943191528,0.855140209197998
67,0.8671340346336365,0.9707621335983276,0.47948938608169556,1e-06,0.8754472732543945,0.8576197624206543,0.8651535511016846,0.9664815068244934,0.5011734366416931,0.8744884133338928,0.8558077216148376
